Antiviral,Linfocitos T/uL
35.5,3752.45261544908
35.6,3749.3220901889053
35.699999999999996,3746.1925017721055
35.8,3743.0638563743646
35.9,3739.9361601690866
36.0,3736.8094193273787
36.1,3733.6836400179573
36.199999999999996,3730.558828407135
36.3,3727.4349906587336
36.4,3724.3121329340483
36.5,3721.1902613917855
36.6,3718.0693821880122
36.7,3714.949501476111
36.8,3711.830625406704
36.9,3708.7127601276197
37.0,3705.595911783826
37.1,3702.480086517391
37.2,3699.365290467412
37.3,3696.2515297699692
37.4,3693.138810558078
37.5,3690.027138961626
37.6,3686.916521107317
37.7,3683.806963118631
37.8,3680.698471115754
37.9,3677.5910512155433
38.0,3674.48470953145
38.1,3671.3794521734794
38.2,3668.2752852481435
38.3,3665.1722148583845
38.4,3662.070247103545
38.5,3658.9693880793075
38.6,3655.8696438776296
38.7,3652.7710205867015
38.800000000000004,3649.6735242908844
38.9,3646.577161070667
39.0,3643.4819370026053
39.1,3640.3878581592717
39.2,3637.2949306091805
39.300000000000004,3634.2031604167864
39.4,3631.1125536423706
39.5,3628.0231163420244
39.6,3624.9348545675734
39.7,3621.8477743665553
39.800000000000004,3618.7618817821376
39.900000000000006,3615.6771828530664
40.0,3612.5936836136257
40.1,3609.511390093587
40.2,3606.430308318125
40.300000000000004,3603.350444307811
40.400000000000006,3600.2718040785194
40.5,3597.194393641388
40.6,3594.118219002774
40.7,3591.043286164199
40.800000000000004,3587.9696011222713
40.900000000000006,3584.897169868669
41.0,3581.8259983900657
41.1,3578.756092668066
41.2,3575.6874586791937
41.300000000000004,3572.6201023947915
41.400000000000006,3569.554029780995
41.5,3566.4892467986797
41.6,3563.425759403393
41.699999999999996,3560.363573545324
41.8,3557.302695169229
41.9,3554.2431302143877
42.0,3551.1848846145504
42.1,3548.1279642978843
42.199999999999996,3545.0723751869327
42.3,3542.0181231985334
42.4,3538.9652142438003
42.5,3535.9136542280507
42.6,3532.863449050755
42.699999999999996,3529.8146046054967
42.8,3526.767126779892
42.9,3523.721021455571
43.0,3520.676294508117
43.1,3517.6329518069924
43.2,3514.590999215511
43.3,3511.5504425907807
43.4,3508.5112877836427
43.5,3505.473540638625
43.6,3502.4372069939072
43.7,3499.4022926812354
43.8,3496.3688035258983
43.9,3493.336745346658
44.0,3490.306123955723
44.1,3487.276945158668
44.2,3484.249214754394
44.3,3481.222938535084
44.4,3478.198122286154
44.5,3475.1747717861745
44.6,3472.1528928068583
44.7,3469.1324911129823
44.800000000000004,3466.1135724623527
44.9,3463.096142605733
45.0,3460.0802072868196
45.1,3457.065772242178
45.2,3454.052843201194
45.300000000000004,3451.0414258860133
45.4,3448.03152601152
45.5,3445.0231492852363
45.6,3442.0163014073437
45.7,3439.0109880705613
45.800000000000004,3436.007214960136
45.9,3433.0049877537963
46.0,3430.0043121216727
46.1,3427.0051937262747
46.2,3424.007638222438
46.300000000000004,3421.0116512572545
46.400000000000006,3418.017238470054
46.5,3415.024405492322
46.6,3412.0331579476924
46.7,3409.0435014518503
46.800000000000004,3406.055441612516
46.900000000000006,3403.0689840293853
47.0,3400.084134294086
47.1,3397.1008979901235
47.2,3394.119280692831
47.300000000000004,3391.1392879693226
47.400000000000006,3388.160925378463
47.5,3385.1841984707844
47.6,3382.2091127884723
47.7,3379.235673865284
47.800000000000004,3376.263887226537
47.900000000000006,3373.293758389036
48.0,3370.325292861037
48.1,3367.3584961421943
48.199999999999996,3364.3933737235125
48.3,3361.429931087299
48.4,3358.4681737071314
48.5,3355.508107047779
48.6,3352.549736565193
48.699999999999996,3349.5930677064375
48.8,3346.6381059096398
48.9,3343.684856603961
49.0,3340.7333252095336
